question_id	question_rank	document_title	paragraph_index
1	1	MP3	11
1	2	Somalis	46
1	3	Buddhism	31
1	4	Bern	10
1	5	American_Idol	26
4	1	Bern	49
4	2	Hunter-gatherer	2
4	3	National_Archives_and_Records_Administration	27
4	4	The_Times	35
4	5	Materialism	6
7	1	The_Times	35
7	2	Bern	49
7	3	University_of_Kansas	15
7	4	Marshall_Islands	43
7	5	Materialism	6
10	1	Hunter-gatherer	2
10	2	BBC_Television	30
10	3	The_Times	35
10	4	Aspirated_consonant	17
10	5	Architecture	8
13	1	Estonian_language	24
13	2	The_Times	35
13	3	Hunter-gatherer	2
13	4	Aspirated_consonant	17
13	5	Phonology	13
16	1	Bern	49
16	2	Materialism	6
16	3	The_Times	35
16	4	MP3	11
16	5	Marshall_Islands	43
19	1	Hunter-gatherer	2
19	2	The_Times	35
19	3	BBC_Television	30
19	4	MP3	11
19	5	Wood	46
22	1	Wood	46
22	2	Hunter-gatherer	2
22	3	The_Times	35
22	4	Brain	13
22	5	Architecture	8
25	1	The_Times	35
25	2	BBC_Television	30
25	3	MP3	11
25	4	Marshall_Islands	43
25	5	Bern	49
28	1	University_of_Kansas	15
28	2	Materialism	6
28	3	MP3	11
28	4	Bern	49
28	5	Wayback_Machine	9
31	1	2008_Summer_Olympics_torch_relay	73
31	2	Bern	49
31	3	MP3	11
31	4	The_Times	35
31	5	Architecture	8
34	1	Materialism	6
34	2	Immunology	8
34	3	National_Archives_and_Records_Administration	27
34	4	The_Times	35
34	5	New_York_City	134
37	1	MP3	11
37	2	The_Times	35
37	3	Hunter-gatherer	10
37	4	Bern	49
37	5	University_of_Kansas	15
40	1	Bern	49
40	2	Aspirated_consonant	17
40	3	Hunter-gatherer	2
40	4	Immunology	8
40	5	The_Times	35
43	1	The_Times	35
43	2	Slavs	34
43	3	Southampton	37
43	4	Bern	49
43	5	Architecture	8
46	1	MP3	11
46	2	Buddhism	31
46	3	Guinea-Bissau	38
46	4	Somalis	46
46	5	National_Archives_and_Records_Administration	18
49	1	Materialism	6
49	2	Bern	49
49	3	2008_Summer_Olympics_torch_relay	73
49	4	Near_East	18
49	5	The_Times	35
52	1	Hunter-gatherer	2
52	2	Marshall_Islands	43
52	3	Bern	49
52	4	The_Times	35
52	5	National_Archives_and_Records_Administration	27
55	1	MP3	11
55	2	University_of_Kansas	15
55	3	Bern	49
55	4	2008_Summer_Olympics_torch_relay	73
55	5	Bern	10
58	1	Hunter-gatherer	2
58	2	Marshall_Islands	43
58	3	The_Times	35
58	4	Bern	49
58	5	Aspirated_consonant	17
61	1	Marshall_Islands	43
61	2	The_Times	35
61	3	Immunology	8
61	4	Sony_Music_Entertainment	22
61	5	Hunter-gatherer	2
64	1	MP3	11
64	2	Hunter-gatherer	2
64	3	Russian_Soviet_Federative_Socialist_Republic	20
64	4	The_Times	35
64	5	Architecture	8
67	1	Marshall_Islands	43
67	2	Hunter-gatherer	2
67	3	Immunology	8
67	4	Architecture	8
67	5	The_Times	35
70	1	Architecture	8
70	2	The_Times	35
70	3	2008_Summer_Olympics_torch_relay	73
70	4	Hunter-gatherer	2
70	5	Daylight_saving_time	13
73	1	The_Times	35
73	2	Bern	49
73	3	Marshall_Islands	43
73	4	Hunter-gatherer	2
73	5	Wood	46
76	1	Materialism	6
76	2	Estonian_language	24
76	3	The_Times	35
76	4	Marshall_Islands	43
76	5	Architecture	8
79	1	Buddhism	31
79	2	MP3	11
79	3	Institute_of_technology	2
79	4	Somalis	46
79	5	2008_Summer_Olympics_torch_relay	73
82	1	Architecture	8
82	2	Near_East	18
82	3	Hunter-gatherer	2
82	4	Canadian_Armed_Forces	41
82	5	Aspirated_consonant	17
85	1	Hunter-gatherer	2
85	2	Architecture	8
85	3	Marshall_Islands	43
85	4	The_Times	35
85	5	BBC_Television	30
88	1	Materialism	6
88	2	Near_East	18
88	3	Southampton	37
88	4	Bern	49
88	5	Architecture	8
91	1	Near_East	18
91	2	The_Times	35
91	3	Architecture	8
91	4	Daylight_saving_time	13
91	5	Aspirated_consonant	17
94	1	Hunter-gatherer	2
94	2	Estonian_language	24
94	3	Bern	49
94	4	Bern	10
94	5	University_of_Kansas	15
97	1	Immunology	8
97	2	Marshall_Islands	43
97	3	Hunter-gatherer	2
97	4	Josip_Broz_Tito	32
97	5	2008_Summer_Olympics_torch_relay	73
100	1	MP3	11
100	2	University_of_Kansas	15
100	3	Materialism	6
100	4	Bern	49
100	5	2008_Summer_Olympics_torch_relay	73
103	1	National_Archives_and_Records_Administration	27
103	2	The_Times	35
103	3	Classical_music	56
103	4	Buddhism	31
103	5	Aspirated_consonant	5
106	1	Phonology	13
106	2	Immunology	8
106	3	The_Times	35
106	4	Architecture	8
106	5	Materialism	6
109	1	Architecture	8
109	2	The_Times	35
109	3	MP3	11
109	4	Bern	49
109	5	Daylight_saving_time	13
112	1	Bern	49
112	2	Immunology	8
112	3	The_Times	35
112	4	Phonology	13
112	5	Estonian_language	24
115	1	National_Archives_and_Records_Administration	27
115	2	Hunter-gatherer	10
115	3	The_Times	35
115	4	2008_Summer_Olympics_torch_relay	73
115	5	Bern	49
118	1	The_Times	35
118	2	Estonian_language	24
118	3	Hunter-gatherer	2
118	4	Wood	46
118	5	Brain	13
121	1	Hunter-gatherer	2
121	2	Marshall_Islands	43
121	3	Architecture	8
121	4	The_Times	35
121	5	Aspirated_consonant	17
124	1	Aspirated_consonant	17
124	2	Bern	49
124	3	Estonian_language	24
124	4	The_Times	35
124	5	Szlachta	3
127	1	Estonian_language	24
127	2	Hunter-gatherer	2
127	3	BBC_Television	30
127	4	Wood	46
127	5	High-definition_television	39
130	1	Materialism	6
130	2	Aspirated_consonant	17
130	3	Hunter-gatherer	2
130	4	Bern	49
130	5	Architecture	8
133	1	University_of_Kansas	15
133	2	Hunter-gatherer	10
133	3	MP3	11
133	4	National_Archives_and_Records_Administration	27
133	5	Kanye_West	44
136	1	The_Times	35
136	2	Architecture	8
136	3	Hunter-gatherer	2
136	4	National_Archives_and_Records_Administration	18
136	5	Marshall_Islands	43
139	1	MP3	11
139	2	2008_Summer_Olympics_torch_relay	73
139	3	Bern	49
139	4	University_of_Kansas	15
139	5	The_Times	35
142	1	Architecture	8
142	2	Marshall_Islands	43
142	3	Hunter-gatherer	2
142	4	The_Times	35
142	5	Near_East	18
145	1	Bern	49
145	2	Hunter-gatherer	2
145	3	Aspirated_consonant	17
145	4	Immunology	8
145	5	The_Times	35
148	1	The_Times	35
148	2	Hunter-gatherer	2
148	3	MP3	11
148	4	Bern	49
148	5	Daylight_saving_time	13
151	1	MP3	11
151	2	Architecture	8
151	3	The_Times	35
151	4	Marshall_Islands	43
151	5	Hunter-gatherer	2
154	1	MP3	11
154	2	American_Idol	26
154	3	Bern	49
154	4	Institute_of_technology	2
154	5	Buddhism	31
157	1	Estonian_language	24
157	2	The_Times	35
157	3	Architecture	8
157	4	Buddhism	31
157	5	Wood	46
160	1	Bern	49
160	2	Aspirated_consonant	17
160	3	MP3	11
160	4	Hunter-gatherer	12
160	5	Phonology	13
163	1	MP3	11
163	2	Buddhism	31
163	3	Bern	49
163	4	Aspirated_consonant	5
163	5	Alps	6
166	1	National_Archives_and_Records_Administration	27
166	2	Space_Race	60
166	3	Aspirated_consonant	17
166	4	The_Times	35
166	5	BBC_Television	30
169	1	Bern	49
169	2	MP3	11
169	3	Materialism	6
169	4	2008_Summer_Olympics_torch_relay	73
169	5	The_Times	35
172	1	Buddhism	31
172	2	Kanye_West	44
172	3	MP3	11
172	4	Hunter-gatherer	12
172	5	Hunter-gatherer	10
175	1	Aspirated_consonant	17
175	2	Immunology	8
175	3	Hunter-gatherer	2
175	4	Bern	49
175	5	Materialism	6
178	1	The_Times	35
178	2	Materialism	6
178	3	Estonian_language	24
178	4	Architecture	8
178	5	Aspirated_consonant	17
181	1	Marshall_Islands	43
181	2	The_Times	35
181	3	MP3	11
181	4	Institute_of_technology	2
181	5	Architecture	8
184	1	Buddhism	31
184	2	Estonian_language	6
184	3	MP3	11
184	4	Solar_energy	38
184	5	Somalis	46
187	1	Hunter-gatherer	2
187	2	The_Times	35
187	3	Wood	46
187	4	University_of_Kansas	15
187	5	Materialism	6
190	1	Materialism	6
190	2	Spectre_(2015_film)	29
190	3	Kanye_West	44
190	4	Hunter-gatherer	10
190	5	Bern	49
193	1	Hunter-gatherer	12
193	2	Aspirated_consonant	17
193	3	Hunter-gatherer	2
193	4	Bern	49
193	5	National_Archives_and_Records_Administration	27
196	1	The_Times	35
196	2	Marshall_Islands	43
196	3	Bern	49
196	4	Hunter-gatherer	2
196	5	MP3	11
199	1	2008_Summer_Olympics_torch_relay	73
199	2	Bern	49
199	3	Hunter-gatherer	2
199	4	Aspirated_consonant	17
199	5	Estonian_language	24
202	1	The_Times	35
202	2	Bern	49
202	3	Phonology	13
202	4	Estonian_language	24
202	5	National_Archives_and_Records_Administration	27
205	1	Bern	49
205	2	MP3	11
205	3	National_Archives_and_Records_Administration	27
205	4	The_Times	35
205	5	Materialism	6
208	1	The_Times	35
208	2	MP3	11
208	3	Marshall_Islands	43
208	4	Aspirated_consonant	17
208	5	BBC_Television	30
211	1	Architecture	8
211	2	The_Times	35
211	3	MP3	11
211	4	Phonology	13
211	5	Materialism	6
214	1	MP3	11
214	2	Prime_minister	18
214	3	Somalis	46
214	4	Guinea-Bissau	38
214	5	BeiDou_Navigation_Satellite_System	17
217	1	The_Times	35
217	2	Marshall_Islands	43
217	3	BBC_Television	30
217	4	Architecture	8
217	5	Alexander_Graham_Bell	0
220	1	Architecture	8
220	2	Hunter-gatherer	2
220	3	The_Times	35
220	4	Marshall_Islands	43
220	5	Aspirated_consonant	17
223	1	Hunter-gatherer	2
223	2	Architecture	8
223	3	The_Times	35
223	4	Bern	49
223	5	Wood	46
226	1	Materialism	6
226	2	2008_Summer_Olympics_torch_relay	73
226	3	National_Archives_and_Records_Administration	27
226	4	Bern	49
226	5	Hunter-gatherer	10
229	1	Alps	6
229	2	MP3	11
229	3	Prime_minister	18
229	4	National_Archives_and_Records_Administration	18
229	5	Bern	32
232	1	MP3	11
232	2	Hunter-gatherer	10
232	3	Bern	49
232	4	Aspirated_consonant	5
232	5	Materialism	6
235	1	Bern	49
235	2	Materialism	6
235	3	Hunter-gatherer	2
235	4	Marshall_Islands	43
235	5	Architecture	8
238	1	BBC_Television	30
238	2	MP3	11
238	3	Bern	49
238	4	University_of_Kansas	15
238	5	Hunter-gatherer	2
241	1	Materialism	6
241	2	Bern	49
241	3	Wayback_Machine	9
241	4	Southampton	37
241	5	Catalan_language	72
244	1	Aspirated_consonant	17
244	2	BBC_Television	30
244	3	Bern	49
244	4	University_of_Kansas	15
244	5	Hunter-gatherer	2
247	1	The_Times	35
247	2	Buddhism	31
247	3	Marshall_Islands	43
247	4	Atlantic_City,_New_Jersey	25
247	5	MP3	11
250	1	BBC_Television	30
250	2	Hunter-gatherer	2
250	3	The_Times	35
250	4	Architecture	8
250	5	University_of_Kansas	15
253	1	MP3	11
253	2	BBC_Television	30
253	3	Architecture	8
253	4	The_Times	35
253	5	Marshall_Islands	43
256	1	Kanye_West	44
256	2	MP3	11
256	3	Aspirated_consonant	5
256	4	Classical_music	56
256	5	Buddhism	31
259	1	Aspirated_consonant	17
259	2	Bern	49
259	3	National_Archives_and_Records_Administration	27
259	4	The_Times	35
259	5	Southampton	37
262	1	Buddhism	31
262	2	MP3	11
262	3	Prime_minister	18
262	4	The_Times	35
262	5	Buddhism	66
265	1	Hunter-gatherer	2
265	2	Internet_service_provider	12
265	3	The_Times	35
265	4	Aspirated_consonant	17
265	5	Bern	49
268	1	The_Times	35
268	2	Hunter-gatherer	10
268	3	Aspirated_consonant	17
268	4	Materialism	6
268	5	Bern	49
271	1	MP3	11
271	2	Buddhism	31
271	3	Institute_of_technology	2
271	4	The_Times	35
271	5	Aspirated_consonant	5
274	1	Bern	49
274	2	Kanye_West	65
274	3	MP3	11
274	4	Daylight_saving_time	13
274	5	University_of_Kansas	15
277	1	Hunter-gatherer	2
277	2	Architecture	8
277	3	Marshall_Islands	43
277	4	The_Times	35
277	5	MP3	11
280	1	MP3	11
280	2	The_Times	35
280	3	Materialism	6
280	4	Bern	49
280	5	University_of_Kansas	15
283	1	Materialism	6
283	2	Guinea-Bissau	38
283	3	Buddhism	31
283	4	MP3	11
283	5	Classical_music	56
286	1	List_of_numbered_streets_in_Manhattan	25
286	2	Architecture	8
286	3	The_Times	35
286	4	MP3	11
286	5	Hunter-gatherer	2
289	1	Wood	46
289	2	Hunter-gatherer	2
289	3	The_Times	35
289	4	BBC_Television	30
289	5	Aspirated_consonant	17
292	1	The_Times	35
292	2	Materialism	6
292	3	Aspirated_consonant	17
292	4	Guinea-Bissau	23
292	5	Southampton	37
295	1	MP3	11
295	2	The_Times	35
295	3	Marshall_Islands	43
295	4	Materialism	6
295	5	Bern	49
298	1	Phonology	13
298	2	Architecture	8
298	3	BBC_Television	30
298	4	The_Times	35
298	5	Aspirated_consonant	17
