recipe_tag	coefficient
bias	0.35258336193594203
appetizer	0.0639216495334693
middleeastern	0.04695766830381767
snack	0.10190729862898415
streetfood	0.06652660920868216
vegan	0.060123677833409744
vegetarian	0.01102206625187735
cheese	0.4123937477063425
fried	-0.03713231326446148
grilled	0.048111673876476996
hamburger	0.0216179011191045
hawaii	0.0216179011191045
ketchup	0.0216179011191045
lettuce	0.03819371656317063
mayonnaise	0.0216179011191045
pacificislands	0.0216179011191045
spam	0.06074524944995725
tomato	-0.004602842982054586
bacon	0.05446074729795761
breakfast	0.03850618932677022
dinner	-0.022918315597689885
eggs	0.036195789306362566
filling	0.046469135313305876
friedrice	0.000894850199493962
lunch	-0.022918315597689885
savory	0.06793141953007462
smoky	0.06333214066530841
soysauce	-0.017672475091247468
vegetables	-0.09775937748808185
chicken	0.004619903848904414
crispy	-0.03448926209625741
fingerfood	-0.03316777998586556
kidfriendly	-0.03316777998586556
apple	-0.022218521349814443
baked	0.07186454128059053
comfortfood	-0.054763580347167606
crisp	-0.018237465418092888
crumble	-0.035692676513686065
dessert	-0.2886387318330699
easy	0.019536843763081527
fall	-0.017179148362308563
quick	0.03093594002726914
winter	-0.017179148362308563
brownsugar	0.00019796867613421565
cinnamon	-0.015119553606672522
cranberry	0.027492288673751104
nutmeg	-0.0012071065293793792
oat	-0.0043262102823074956
chocolate	-0.07091306888873947
cookies	-0.01165870749216017
sweetandsalty	-0.017916800509965018
handtorndough	-0.02750048894681806
koreancuisine	-0.02750048894681806
seafood	0.055597696770467886
soup	0.07222346212038946
italian	0.08336003095700101
pasta	0.04310139582477723
spring	-0.07115373874075775
boiledeggs	-0.01207895978062901
bokchoy	-0.01207895978062901
carrots	-0.01207895978062901
greenonions	0.018011294816626444
japanesecuisine	0.06055203671150797
miso	-0.01207895978062901
mushrooms	-0.01207895978062901
noodlesoup	-0.01207895978062901
porkbelly	-0.01207895978062901
ramen	-0.01207895978062901
classic	0.07259792339802432
decadent	-0.023178919859815177
fudgy	-0.019404244327804007
rich	-0.023178919859815177
scallops	0.026493772757372493
brunch	0.08162190514776534
mealprep	-0.07834199825369943
muffins	-0.07834199825369943
protein	-0.07834199825369943
burritos	0.030090254597255454
potatoes	0.030090254597255454
tortillas	-0.002421894181767522
meatsauce	0.045801416312827685
pastasauce	0.045801416312827685
tomatosauce	-0.01858406148425825
bakery	0.0477887532174845
buttery	0.01324724026984761
croissants	0.014505518085924006
flaky	0.0346168318568833
frenchpastry	0.07155269372441411
laminateddough	0.0477887532174845
souffle	-0.0016241467951042879
baking	0.03445179908484783
frenchcuisine	0.02802921673129683
gruyere	0.04599007734343753
parmesan	0.04599007734343753
french	-0.04645350033404941
pastry	-0.04792843830898175
appetizers	0.04357490833082796
greenbeans	-0.037957260681273246
pickledvegetables	0.003498010744900082
sidedishes	-0.037957260681273246
snacks	-0.03578449896785
friedfood	0.09214597955767849
oysters	0.06191710406748077
southerncuisine	0.06191710406748077
brownies	-0.0045204770534051295
peanutbutter	-0.018442406192170028
almond	-0.09925390773116928
chocolatechip	0.006258093017804849
avocado	-0.028345481903427956
cilantro	0.016628681252675845
dip	-0.015616496598413243
lime	-0.03974506769256559
mexican	-0.05531219635376511
onion	-0.020176126787701112
spicy	0.01318549273658838
bread	-0.01977462958193958
goldenbrown	-0.009576817064609403
soft	-0.009576817064609403
sweet	-0.0057157508547552305
tender	-0.03515925146230983
brioche	0.003714634559962965
asparagus	-0.04240720214135871
custard	0.042897616958281065
herbs	0.05081919959989063
quiche	-0.0904353512076499
spices	0.05081919959989063
burger	-0.04044681250724457
chickpeas	-0.04044681250724457
grill	-0.04044681250724457
healthy	0.12969593245182742
summer	-0.044352300146997585
chilioil	-0.004920789267077473
chinesecookingwine	0.056373748945241435
garlic	0.0548061727022065
ginger	0.056373748945241435
numbing	0.11639226089637875
scallions	-0.004920789267077473
sichuancuisine	0.05509772268405984
sichuanpeppercorns	-0.004920789267077473
coldnoodles	0.03283461895075166
cucumber	0.03283461895075166
greenonion	-0.0015675762430349344
ricevinegar	-0.0015675762430349344
sesameoil	-0.0015675762430349344
sesameseeds	-0.0015675762430349344
tomatoes	0.05245158376677052
celebration	0.024626844927671098
corn	0.024626844927671098
holiday	0.048286867143295706
masa	0.024626844927671098
salsa	0.002060993859596242
steamed	0.024626844927671098
traditional	0.024626844927671098
cheesy	-0.06655264005199181
easydinner	-0.00216716225490587
familyfriendly	-0.0423085940930033
mexicancuisine	0.0521902843294442
beef	0.09398016410593778
sourcream	0.07521469093412081
tacos	0.01956894090486448
customizable	0.04557428511381192
handheld	0.04557428511381192
cupcakes	-0.01858660538358982
frosting	-0.018478455990024973
indulgent	-0.01858660538358982
condiment	-0.016099775397038517
sidedish	-0.004858614731071582
cake	0.00010814939356484487
ganache	0.004664676244824919
glutenfree	-0.014251000566680772
noodles	0.10802244464634703
donuts	-0.05669827088013093
maple	-0.05669827088013093
sweetandsavory	0.013183245912792997
maplesyrup	0.06988151679292393
pancakes	0.06988151679292393
bakeddishes	-0.09265163731121495
bellpeppers	0.03418929383263305
blackbeans	0.03418929383263305
chilipowder	0.03418929383263305
cumin	0.03418929383263305
guacamole	0.0016265900194508932
onions	0.0016771450536100727
tortilla	0.03418929383263305
fresh	-0.02316305909118517
beans	-5.055503415917939e-05
meat	0.045704973804177616
asiancuisine	-0.009598848067232185
sobanoodles	-0.009598848067232185
fajitaseasoning	-0.032512148779022976
peppers	-0.032512148779022976
texmex	-0.032512148779022976
gamedayfood	0.057403597917948856
loadednachos	0.05523083620452561
mexicanfood	0.05523083620452561
nachos	0.05578344842393977
partyfood	0.07496217477776455
breaded	-0.025582434397700426
fastfood	-0.025582434397700426
meal	-0.025582434397700426
breakfastpastry	0.05805200994765128
chocolatecroissant	0.05805200994765128
oven	0.05805200994765128
puffpastry	0.05805200994765128
sweettreat	0.02376394050692962
warm	0.05805200994765128
salad	0.007845355035363426
tortillachips	0.014392711249935986
casserole	-0.04014143183809743
fries	0.0021727617134232446
groundbeef	-0.024759029037216468
jalapenos	0.0021727617134232446
dashibroth	-0.027092954575070542
tempura	-0.027092954575070542
udonnoodles	-0.027092954575070542
fruit	-0.0317800823310187
homemade	0.004678664348486503
peach	0.0015310453331826078
cloves	-0.0014050752055135948
crust	-0.0014050752055135948
lattice	-0.0014050752055135948
pie	-0.006302508570817237
blueberry	-0.018162365132569094
refreshing	-0.008158476740433995
rhubarb	-0.008158476740433995
strawberry	-0.008158476740433995
tangy	0.01550154547519061
cobbler	-0.004416857058279174
southern	-0.003147619015303895
christmas	0.023660022215624604
sauce	-0.07150332222552122
tart	-0.07150332222552122
thanksgiving	0.023660022215624604
cherry	-0.006166671408278921
oats	-0.003634297781992284
vanillaicecream	-0.003634297781992284
whippedcream	-0.003634297781992284
braided	-0.0037746755320111694
easterneuropean	-0.0037746755320111694
twisted	-0.0037746755320111694
yeastdough	-0.0037746755320111694
hawaiian	0.039127348330852754
nori	0.039127348330852754
onthego	0.039127348330852754
rice	0.039127348330852754
sushi	0.039127348330852754
taco	0.03745368704644622
tortillabowl	0.03745368704644622
spicyfood	0.03022887549019772
stuffedpeppers	0.03022887549019772
citrus	0.09516334444114583
relish	0.09516334444114583
chinesecuisine	-0.0012760262611815967
stirfry	0.06001851195113731
cocoapowder	-0.0045565268512600746
spinach	0.02373756328435217
creamy	0.014363172381322033
custardy	-0.023813165797183847
gruyerecheese	0.012114403825848215
mushroom	-0.10573801507543196
pastrycrust	0.03592756962303206
coffee	-0.03428806944072166
croissant	-0.03428806944072166
tea	-0.03428806944072166
creamcheese	-0.005685574697410439
danish	-0.005685574697410439
hamandcheese	-0.005685574697410439
fetacheese	-0.07832238475637711
piecrust	-0.07832238475637711
chinese	0.06959303179145841
cold	0.06959303179145841
sesame	0.06959303179145841
peanutdressing	-0.04400104326101878
blackvinegar	-0.06129453821231891
peanuts	-0.06129453821231891
pork	-0.06129453821231891
eggwhites	-0.01958819997733305
vanilla	-0.01958819997733305
dates	-0.004397232520913406
american	-0.004897433365303643
berries	0.007822555258286295
egg	0.035513988433246886
sandwich	0.035513988433246886
toast	0.035513988433246886
broiling	-0.00531269110756732
grilling	-0.00531269110756732
shrimp	-0.00531269110756732
skewers	-0.00531269110756732
juicy	0.024260952287308575
keto	-0.06997390837286951
lowcarb	-0.06997390837286951
macandcheese	0.03817633817850588
salty	0.03817633817850588
alfredo	-0.03263355699790196
italiancuisine	-0.03263355699790196
lasagna	0.0023595897312501946
ricotta	0.11691799600740027
